Entity,Year,Week,Epi_Year,Week,M,F,New_Cases_Week,Calculated_Difference
Guerrero,2019,18,2019,18,0.0,3.0,2.0,3.0
Puebla,2019,18,2019,18,7.0,14.0,0.0,6.0
Puebla,2019,19,2019,19,6.0,7.0,0.0,-8.0
Puebla,2019,20,2019,20,7.0,14.0,0.0,8.0
México,2019,21,2019,21,19.0,34.0,4.0,5.0
Puebla,2019,22,2019,22,6.0,8.0,1.0,-7.0
Puebla,2019,24,2019,24,7.0,9.0,0.0,-1.0
Aguascalientes,2019,25,2019,25,5.0,6.0,0.0,1.0
Puebla,2019,25,2019,25,8.0,10.0,1.0,2.0
Sonora,2019,25,2019,25,20.0,30.0,2.0,1.0
Puebla,2019,26,2019,26,9.0,19.0,0.0,10.0
Durango,2019,27,2019,27,11.0,24.0,1.0,2.0
Puebla,2019,27,2019,27,8.0,10.0,0.0,-10.0
Ciudad de México,2019,29,2019,29,44.0,75.0,4.0,13.0
Sonora,2019,29,2019,29,23.0,38.0,5.0,6.0
Guanajuato,2019,30,2019,30,14.0,20.0,0.0,-1.0
Puebla,2019,31,2019,31,11.0,26.0,3.0,11.0
Guerrero,2019,32,2019,32,3.0,7.0,0.0,-2.0
Puebla,2019,32,2019,32,11.0,28.0,0.0,2.0
Quintana Roo,2019,32,2019,32,7.0,9.0,1.0,2.0
San Luis Potosí,2019,32,2019,32,17.0,19.0,2.0,3.0
Sonora,2019,32,2019,32,27.0,43.0,2.0,3.0
Puebla,2019,33,2019,33,11.0,26.0,0.0,-2.0
Quintana Roo,2019,33,2019,33,8.0,9.0,0.0,1.0
Chihuahua,2019,34,2019,34,71.0,131.0,12.0,13.0
Chihuahua,2019,35,2019,35,74.0,132.0,5.0,4.0
Puebla,2019,35,2019,35,9.0,19.0,0.0,-9.0
Durango,2019,37,2019,37,13.0,30.0,1.0,2.0
Puebla,2019,38,2019,38,11.0,27.0,0.0,9.0
Puebla,2019,39,2019,39,9.0,20.0,0.0,-9.0
Puebla,2019,40,2019,40,11.0,27.0,0.0,9.0
México,2019,41,2019,41,40.0,61.0,2.0,3.0
Puebla,2019,41,2019,41,10.0,20.0,1.0,-8.0
Puebla,2019,44,2019,44,14.0,32.0,0.0,12.0
Puebla,2019,45,2019,45,12.0,22.0,0.0,-12.0
Tabasco,2019,45,2019,45,48.0,75.0,1.0,2.0
Oaxaca,2019,47,2019,47,18.0,34.0,0.0,1.0
Puebla,2019,49,2019,49,15.0,32.0,0.0,9.0
Puebla,2019,50,2019,50,13.0,25.0,0.0,-9.0
Durango,2019,51,2019,51,19.0,43.0,2.0,3.0
Puebla,2019,51,2019,51,16.0,34.0,1.0,12.0
Yucatán,2020,1,2019,1,18.0,27.0,0.0,1.0
Puebla,2020,4,2020,4,1.0,0.0,0.0,1.0
Baja California,2020,5,2020,5,4.0,4.0,1.0,0.0
Tamaulipas,2020,5,2020,5,9.0,7.0,6.0,8.0
Tamaulipas,2020,7,2020,7,9.0,10.0,0.0,1.0
Chihuahua,2020,10,2020,10,14.0,29.0,3.0,4.0
Jalisco,2020,10,2020,10,27.0,34.0,10.0,12.0
Nuevo León,2020,11,2020,11,10.0,23.0,2.0,1.0
Sonora,2020,11,2020,11,7.0,16.0,4.0,5.0
México,2020,13,2020,13,13.0,13.0,4.0,5.0
Puebla,2020,14,2020,14,5.0,8.0,2.0,3.0
Puebla,2020,15,2020,15,6.0,7.0,1.0,0.0
Chihuahua,2020,16,2020,16,24.0,45.0,1.0,2.0
Jalisco,2020,16,2020,16,34.0,47.0,0.0,3.0
Sonora,2020,16,2020,16,9.0,17.0,1.0,-1.0
Puebla,2020,19,2020,19,6.0,8.0,0.0,1.0
Baja California,2020,24,2020,24,11.0,23.0,2.0,3.0
Puebla,2020,24,2020,24,6.0,9.0,0.0,1.0
Puebla,2020,25,2020,25,6.0,8.0,0.0,-1.0
Chihuahua,2020,27,2020,27,32.0,53.0,1.0,5.0
Nuevo León,2020,29,2020,29,28.0,30.0,1.0,2.0
Puebla,2020,29,2020,29,7.0,9.0,0.0,2.0
Puebla,2020,30,2020,30,6.0,9.0,1.0,-1.0
Morelos,2020,31,2020,31,9.0,9.0,0.0,-1.0
Chihuahua,2020,32,2020,32,35.0,61.0,1.0,3.0
Guerrero,2020,34,2020,34,3.0,4.0,0.0,1.0
Chihuahua,2020,35,2020,35,37.0,65.0,3.0,4.0
Puebla,2020,35,2020,35,6.0,15.0,1.0,2.0
Chihuahua,2020,36,2020,36,38.0,69.0,3.0,5.0
Puebla,2020,36,2020,36,6.0,15.0,1.0,0.0
Baja California,2020,37,2020,37,15.0,33.0,0.0,-1.0
Quintana Roo,2020,37,2020,37,2.0,2.0,0.0,-1.0
Tamaulipas,2020,37,2020,37,18.0,31.0,0.0,1.0
Durango,2020,38,2020,38,5.0,19.0,0.0,1.0
Tabasco,2020,38,2020,38,17.0,16.0,0.0,-8.0
Querétaro,2020,39,2020,39,11.0,7.0,0.0,-1.0
San Luis Potosí,2020,39,2020,39,5.0,20.0,1.0,-1.0
Sonora,2020,42,2020,42,26.0,37.0,2.0,3.0
Chiapas,2020,44,2020,44,7.0,13.0,0.0,-1.0
Puebla,2020,44,2020,44,6.0,11.0,0.0,-6.0
Chiapas,2020,45,2020,45,9.0,14.0,1.0,3.0
Puebla,2020,45,2020,45,6.0,12.0,0.0,1.0
Chiapas,2020,46,2020,46,12.0,16.0,3.0,5.0
Oaxaca,2020,47,2020,47,9.0,17.0,0.0,1.0
Puebla,2020,48,2020,48,6.0,18.0,0.0,5.0
Chiapas,2020,49,2020,49,20.0,20.0,1.0,3.0
Chiapas,2020,50,2020,50,20.0,23.0,2.0,3.0
Chihuahua,2020,50,2020,50,47.0,80.0,5.0,8.0
Chiapas,2020,51,2020,51,23.0,27.0,6.0,7.0
Jalisco,2020,52,2020,52,68.0,107.0,7.0,9.0
San Luis Potosí,2020,52,2020,52,7.0,26.0,1.0,2.0
Puebla,2021,1,2020,1,8.0,21.0,1.0,2.0
Jalisco,2021,3,2021,3,2.0,3.0,1.0,4.0
