Año,Semana,Entidad,Ax_003,Valor
2014,sem06,Oaxaca,M,1
2014,sem06,Puebla,Sem.,0
2014,sem06,Puebla,H,0
2014,sem06,Puebla,M,0
2014,sem06,Querétaro,Sem.,0
2014,sem06,Querétaro,H,0
2014,sem06,Querétaro,M,0
2014,sem06,Quintana Roo,Sem.,2
2014,sem06,Quintana Roo,H,1
2014,sem06,Quintana Roo,M,3
2014,sem06,San Luis Potosí,Sem.,0
2014,sem06,San Luis Potosí,H,1
2014,sem06,San Luis Potosí,M,1
2014,sem06,Sinaloa,Sem.,2
2014,sem06,Sinaloa,H,5
2014,sem06,Sinaloa,M,9
2014,sem06,Sonora,Sem.,3
2014,sem06,Sonora,H,9
2014,sem06,Sonora,M,6
2014,sem06,Tabasco,Sem.,0
2014,sem06,Tabasco,H,0
2014,sem06,Tabasco,M,1
2014,sem06,Tamaulipas,Sem.,2
2014,sem06,Tamaulipas,H,4
2014,sem06,Tamaulipas,M,6
2014,sem06,Tlaxcala,Sem.,0
2014,sem06,Tlaxcala,H,0
2014,sem06,Tlaxcala,M,0
2014,sem06,Veracruz,Sem.,0
2014,sem06,Veracruz,H,1
2014,sem06,Veracruz,M,2
2014,sem06,Yucatán,Sem.,0
2014,sem06,Yucatán,H,3
2014,sem06,Yucatán,M,2
2014,sem06,Zacatecas,Sem.,0
2014,sem06,Zacatecas,H,0
2014,sem06,Zacatecas,M,0
2014,sem07,Aguascalientes,Sem.,0
2014,sem07,Aguascalientes,H,0
2014,sem07,Aguascalientes,M,0
2014,sem07,Baja California,Sem.,1
2014,sem07,Baja California,H,3
2014,sem07,Baja California,M,12
2014,sem07,Baja California Sur,Sem.,0
2014,sem07,Baja California Sur,H,0
2014,sem07,Baja California Sur,M,0
2014,sem07,Campeche,Sem.,1
2014,sem07,Campeche,H,3
2014,sem07,Campeche,M,3
2014,sem07,Coahuila,Sem.,3
2014,sem07,Coahuila,H,2
2014,sem07,Coahuila,M,3
2014,sem07,Colima,Sem.,0
2014,sem07,Colima,H,0
2014,sem07,Colima,M,2
2014,sem07,Chiapas,Sem.,0
2014,sem07,Chiapas,H,2
2014,sem07,Chiapas,M,2
2014,sem07,Chihuahua,Sem.,0
2014,sem07,Chihuahua,H,1
2014,sem07,Chihuahua,M,5
2014,sem07,Ciudad de México,Sem.,1
2014,sem07,Ciudad de México,H,4
2014,sem07,Ciudad de México,M,4
2014,sem07,Durango,Sem.,1
2014,sem07,Durango,H,1
2014,sem07,Durango,M,1
2014,sem07,Guanajuato,Sem.,0
2014,sem07,Guanajuato,H,0
2014,sem07,Guanajuato,M,1
2014,sem07,Guerrero,Sem.,2
2014,sem07,Guerrero,H,2
2014,sem07,Guerrero,M,4
2014,sem07,Hidalgo,Sem.,0
2014,sem07,Hidalgo,H,0
2014,sem07,Hidalgo,M,0
2014,sem07,Jalisco,Sem.,2
2014,sem07,Jalisco,H,1
2014,sem07,Jalisco,M,2
2014,sem07,México,Sem.,0
2014,sem07,México,H,10
2014,sem07,México,M,11
2014,sem07,Michoacán,Sem.,0
2014,sem07,Michoacán,H,6
2014,sem07,Michoacán,M,4
2014,sem07,Morelos,Sem.,2
2014,sem07,Morelos,H,0
2014,sem07,Morelos,M,3
2014,sem07,Nayarit,Sem.,1
2014,sem07,Nayarit,H,0
2014,sem07,Nayarit,M,6
2014,sem07,Nuevo León,Sem.,3
2014,sem07,Nuevo León,H,7
2014,sem07,Nuevo León,M,12
2014,sem07,Oaxaca,Sem.,1
2014,sem07,Oaxaca,H,3
2014,sem07,Oaxaca,M,2
2014,sem07,Puebla,Sem.,0
2014,sem07,Puebla,H,0
2014,sem07,Puebla,M,0
2014,sem07,Querétaro,Sem.,0
2014,sem07,Querétaro,H,0
2014,sem07,Querétaro,M,0
2014,sem07,Quintana Roo,Sem.,1
2014,sem07,Quintana Roo,H,1
2014,sem07,Quintana Roo,M,4
2014,sem07,San Luis Potosí,Sem.,1
2014,sem07,San Luis Potosí,H,2
2014,sem07,San Luis Potosí,M,1
2014,sem07,Sinaloa,Sem.,4
2014,sem07,Sinaloa,H,6
2014,sem07,Sinaloa,M,12
2014,sem07,Sonora,Sem.,3
2014,sem07,Sonora,H,10
2014,sem07,Sonora,M,8
2014,sem07,Tabasco,Sem.,0
2014,sem07,Tabasco,H,0
2014,sem07,Tabasco,M,1
2014,sem07,Tamaulipas,Sem.,2
2014,sem07,Tamaulipas,H,6
2014,sem07,Tamaulipas,M,6
2014,sem07,Tlaxcala,Sem.,0
2014,sem07,Tlaxcala,H,0
2014,sem07,Tlaxcala,M,0
2014,sem07,Veracruz,Sem.,1
2014,sem07,Veracruz,H,2
2014,sem07,Veracruz,M,2
2014,sem07,Yucatán,Sem.,0
2014,sem07,Yucatán,H,3
2014,sem07,Yucatán,M,2
2014,sem07,Zacatecas,Sem.,0
2014,sem07,Zacatecas,H,0
2014,sem07,Zacatecas,M,0
2014,sem08,Aguascalientes,Sem.,0
2014,sem08,Aguascalientes,H,0
2014,sem08,Aguascalientes,M,0
2014,sem08,Baja California,Sem.,4
2014,sem08,Baja California,H,4
2014,sem08,Baja California,M,15
2014,sem08,Baja California Sur,Sem.,0
2014,sem08,Baja California Sur,H,0
2014,sem08,Baja California Sur,M,0
2014,sem08,Campeche,Sem.,1
