Year,Week,Date,Entity,M,F
2017,5,2017-01-29,Aguascalientes,0,0
2017,6,2017-02-05,Aguascalientes,0,0
2017,7,2017-02-12,Aguascalientes,0,0
2017,8,2017-02-19,Aguascalientes,0,2
2017,9,2017-02-26,Aguascalientes,1,0
2017,10,2017-03-05,Aguascalientes,0,0
2017,11,2017-03-12,Aguascalientes,0,2
2017,12,2017-03-19,Aguascalientes,0,2
2017,13,2017-03-26,Aguascalientes,0,1
2017,14,2017-04-02,Aguascalientes,2,1
2017,15,2017-04-09,Aguascalientes,0,0
2017,16,2017-04-16,Aguascalientes,0,0
2017,17,2017-04-23,Aguascalientes,0,0
2017,18,2017-04-30,Aguascalientes,0,0
2017,19,2017-05-07,Aguascalientes,1,0
2017,20,2017-05-14,Aguascalientes,1,0
2017,21,2017-05-21,Aguascalientes,0,0
2017,22,2017-05-28,Aguascalientes,0,0
2017,23,2017-06-04,Aguascalientes,0,2
2017,24,2017-06-11,Aguascalientes,1,1
2017,25,2017-06-18,Aguascalientes,0,0
2017,26,2017-06-25,Aguascalientes,1,0
2017,27,2017-07-02,Aguascalientes,0,0
2017,28,2017-07-09,Aguascalientes,0,0
2017,29,2017-07-16,Aguascalientes,0,0
2017,30,2017-07-23,Aguascalientes,0,1
2017,31,2017-07-30,Aguascalientes,0,1
2017,32,2017-08-06,Aguascalientes,0,0
2017,33,2017-08-13,Aguascalientes,0,1
2017,34,2017-08-20,Aguascalientes,1,1
2017,35,2017-08-27,Aguascalientes,0,0
2017,36,2017-09-03,Aguascalientes,2,0
2017,37,2017-09-10,Aguascalientes,0,0
2017,38,2017-09-17,Aguascalientes,0,0
2017,39,2017-09-24,Aguascalientes,0,0
2017,40,2017-10-01,Aguascalientes,0,2
2017,41,2017-10-08,Aguascalientes,0,0
2017,42,2017-10-15,Aguascalientes,0,0
2017,43,2017-10-22,Aguascalientes,0,1
2017,44,2017-10-29,Aguascalientes,0,0
2017,45,2017-11-05,Aguascalientes,0,0
2017,46,2017-11-12,Aguascalientes,0,0
2017,47,2017-11-19,Aguascalientes,0,1
2017,48,2017-11-26,Aguascalientes,0,0
2017,49,2017-12-03,Aguascalientes,0,0
2017,50,2017-12-10,Aguascalientes,0,0
2017,51,2017-12-17,Aguascalientes,0,0
2017,52,2017-12-24,Aguascalientes,0,0
2018,1,2018-01-07,Aguascalientes,0,0
2018,2,2018-01-14,Aguascalientes,0,2
2018,3,2018-01-21,Aguascalientes,0,0
2018,4,2018-01-28,Aguascalientes,0,0
2018,5,2018-02-04,Aguascalientes,0,0
2018,6,2018-02-11,Aguascalientes,0,1
2018,7,2018-02-18,Aguascalientes,0,0
2018,8,2018-02-25,Aguascalientes,0,1
2018,9,2018-03-04,Aguascalientes,0,1
2018,10,2018-03-11,Aguascalientes,0,0
2018,11,2018-03-18,Aguascalientes,0,1
2018,12,2018-03-25,Aguascalientes,0,0
2018,13,2018-04-01,Aguascalientes,0,0
2018,14,2018-04-08,Aguascalientes,1,0
2018,15,2018-04-15,Aguascalientes,0,0
2018,16,2018-04-22,Aguascalientes,0,0
2018,17,2018-04-29,Aguascalientes,1,0
2018,18,2018-05-06,Aguascalientes,2,0
2018,19,2018-05-13,Aguascalientes,0,0
2018,20,2018-05-20,Aguascalientes,0,2
2018,21,2018-05-27,Aguascalientes,0,0
2018,22,2018-06-03,Aguascalientes,0,0
2018,23,2018-06-10,Aguascalientes,0,0
2018,24,2018-06-17,Aguascalientes,0,1
2018,25,2018-06-24,Aguascalientes,0,0
2018,26,2018-07-01,Aguascalientes,0,1
